1,1,365.01,361.25
1,1,392.84,123.59
20.554,199.55,380.05,300.33
1,255.96,384.56,361.25
192.03,22.058,358.99,272.5
286.04,102.53,512.42,182.25
461.27,216.85,512.42,361.25
1,1,370.27,346.21
1,1,374.79,121.33
1,1,368.77,361.25
1,1,437.21,361.25
266.49,1,512.42,229.63
1,61.167,298.82,191.28
218.35,55.902,368.77,167.21
1,1,512.42,361.25
1,1,437.21,150.66
116.82,281.53,304.09,361.25
1,1,389.07,238.66
71.696,133.37,262.73,192.78
120.58,73.2,305.59,218.35
70.944,234.15,254.45,322.89
1,1,436.46,361.25
286.79,103.28,512.42,229.63
267.99,183,422.92,361.25
277.01,1,512.42,361.25
1,1,368.77,213.09
339.44,1,437.21,128.1
7.7687,313.11,86.737,361.25
210.08,216.1,358.24,281.53
1,256.71,304.09,361.25
286.79,1,512.42,229.63
1,69.44,288.3,317.63
1,123.59,128.1,164.2
88.994,194.29,216.1,257.46
263.48,171.72,512.42,361.25
273.25,1,512.42,361.25
1,185.26,63.423,231.14
84.481,76.96,353.73,281.53
73.952,1,358.24,71.696
299.58,316.88,347.71,361.25
1,290.55,234.9,361.25
105.54,40.86,256.71,83.729
1,90.498,259.72,184.51
1,150.66,358.99,361.25
1,61.167,298.82,189.02
234.9,218.35,316.12,281.53
1,1,389.07,361.25
1,290.55,63.423,361.25
1,69.44,288.3,212.34
98.019,119.83,359.74,272.5
263.48,1,512.42,361.25
1,1,370.27,174.73
1,67.183,319.88,324.4
1,173.98,146.9,361.25
1,1,358.24,81.473
339.44,1,426.68,128.1
1,40.108,113.06,85.985
145.4,1,360.5,81.473
289.05,1,512.42,240.91
1,1,435.7,361.25
196.54,126.6,304.09,231.89
1,83.729,259.72,213.09
71.696,80.721,246.18,179.24
97.267,28.075,256.71,81.473
283.03,1,512.42,361.25
1,61.167,359.74,346.21
339.44,183.76,457.51,361.25
1,210.08,435.7,361.25
231.14,222.11,416.9,361.25
170.97,88.994,437.21,336.43
136.38,309.35,278.52,361.25
1,206.32,512.42,361.25
1,216.1,358.99,361.25
84.481,76.96,339.44,281.53
390.58,206.32,456.76,361.25
286.79,1,512.42,361.25
283.03,1,512.42,228.13
52.894,288.3,151.42,361.25
1,43.869,204.06,341.69
1,1,365.01,122.09
1,1,396.6,111.56
130.36,90.498,259.72,178.49
1,88.994,437.21,361.25
1,69.44,437.21,361.25
354.48,222.11,416.9,361.25
330.41,224.37,373.28,305.59
354.48,183,422.92,361.25
1,1,111.56,51.39
273.25,173.23,436.46,240.91
319.88,1,360.5,58.158
1,289.8,119.83,361.25
1,153.67,318.38,361.25
1,48.381,213.84,183.76
428.18,1,512.42,129.61
365.01,173.23,512.42,229.63
191.28,275.51,356.74,361.25
1,186.01,436.46,361.25
1,255.96,383.81,361.25
327.4,1,437.21,132.61
1,48.381,254.45,322.89
289.05,109.3,370.27,178.49
376.29,1,512.42,361.25
1,154.43,204.06,341.69
280.02,281.53,344.7,352.98
1,43.869,319.88,341.69
273.25,273.25,357.49,361.25
198.8,94.258,288.3,150.66
1,48.381,254.45,191.28
37.1,226.62,354.48,361.25
244.68,110.05,309.35,170.97
1,286.79,134.12,361.25
1,16.042,195.04,80.721
1,1,116.07,48.381
104.79,288.3,239.41,346.21
164.95,76.96,295.82,195.04
229.63,6.2646,340.19,49.885
286.04,1,512.42,189.02
1,1,374.79,281.53
73.952,226.62,223.62,302.59
210.08,216.1,358.99,286.79
37.1,319.88,150.66,361.25
416.9,203.31,512.42,361.25
204.06,111.56,264.23,157.43
358.99,1,512.42,131.11
1,207.82,435.7,361.25
1,199.55,416.9,361.25
277.01,102.53,462.03,361.25
1,48.381,239.41,305.59
263.48,173.23,422.92,361.25
1,225.12,82.225,288.3
366.51,1,422.17,62.671
373.28,210.08,414.65,301.08
98.019,119.83,359.74,274.01
288.3,88.994,437.21,238.66
286.04,1,512.42,182.25
26.571,320.64,127.35,361.25
273.25,155.18,512.42,361.25
71.696,22.058,358.99,272.5
33.34,151.42,319.88,236.4
297.32,173.23,414.65,336.43
104.79,288.3,239.41,361.25
362,1,512.42,361.25
1,61.167,298.82,346.21
83.729,88.994,151.42,131.11
336.43,1,497.38,128.1
279.27,277.01,354.48,337.93
1,243.92,285.29,361.25
334.17,170.22,462.03,239.41
108.55,1,374.79,135.62
164.95,76.96,389.07,238.66
1,27.323,113.06,85.985
1,222.11,416.9,361.25
1,290.55,119.83,361.25
244.68,126.6,306.35,184.51
144.65,22.058,263.48,81.473
286.79,134.12,352.98,182.25
1,286.79,128.85,361.25
204.06,48.381,365.01,150.66
1,153.67,318.38,322.89
288.3,22.058,512.42,229.63
1,1,167.96,50.638
1,43.869,418.41,361.25
60.415,52.142,368.77,167.21
289.05,109.3,512.42,240.91
1,1,236.4,84.481
130.36,213.09,354.48,361.25
274.01,57.406,392.84,123.59
1,199.55,418.41,361.25
1,67.183,358.99,361.25
462.03,1,512.42,128.85
288.3,103.28,386.07,182.25
1,69.44,170.97,131.11
126.6,150.66,305.59,254.45
1,67.183,118.33,131.86
1,83.729,259.72,184.51
233.39,49.133,335.68,98.771
1,185.26,279.27,324.4
339.44,199.55,457.51,361.25
145.4,10.025,327.4,81.473
244.68,131.11,355.98,280.77
378.55,210.83,422.92,361.25
70.944,206.32,318.38,322.89
225.12,6.2646,330.41,58.91
136.38,213.09,298.82,327.4
228.13,43.869,367.26,121.33
386.07,1,428.18,49.133
204.06,1,437.21,150.66
263.48,171.72,422.92,361.25
20.554,199.55,228.13,300.33
320.64,1,368.77,65.679
273.25,173.23,436.46,361.25
1,173.98,354.48,361.25
355.23,73.2,422.92,176.99
1,69.44,288.3,173.98
136.38,275.51,356.74,361.25
1,85.985,103.28,131.86
33.34,73.2,319.88,236.4
1,312.36,278.52,361.25
247.68,113.81,308.6,166.46
1,48.381,389.07,238.66
1,48.381,64.175,102.53
241.67,88.242,320.64,167.21
225.12,1,374.79,121.33
266.49,103.28,512.42,229.63
1,189.77,158.94,292.81
394.34,155.18,512.42,229.63
394.34,178.49,512.42,229.63
260.47,213.84,337.18,255.96
355.23,155.18,512.42,361.25
1,48.381,213.84,191.28
25.819,319.88,119.83,361.25
271,281.53,348.46,352.98
1,1,111.56,48.381
117.57,80.721,246.18,173.98
231.14,274.01,366.51,361.25
244.68,126.6,319.13,191.28
1,52.142,368.77,213.09
277.01,102.53,462.03,239.41
212.34,228.88,310.11,273.25
147.66,92.754,228.13,140.89
26.571,320.64,108.55,361.25
228.13,218.35,358.24,276.26
258.96,55.902,368.77,110.8
22.058,288.3,151.42,361.25
255.96,274.01,302.59,321.39
1,169.47,236.4,346.21
1,286.79,151.42,361.25
63.423,1,365.01,122.09
37.1,258.21,354.48,361.25
1,1,116.82,50.638
347.71,1,422.92,125.09
92.002,119.83,359.74,274.01
186.01,26.571,262.73,76.208
252.2,131.11,355.98,280.77
143.9,258.21,354.48,361.25
91.25,243.92,279.27,317.63
327.4,1,458.27,134.12
240.91,275.51,343.2,361.25
401.86,155.18,512.42,198.8
354.48,208.57,436.46,361.25
1,237.91,110.05,361.25
1,48.381,99.523,183.76
286.79,103.28,512.42,181.5
376.29,127.35,512.42,178.49
110.05,6.2646,330.41,64.927
