1,1,321,511.93
40.467,93.8,229.27,427.67
1,1,383.93,511.93
189.8,1,383.93,511.93
61.8,1,188.73,145
207.93,1,383.93,511.93
250.6,183.4,354.07,431.93
1,1,101.27,454.33
1,1,269.8,130.07
193,1,383.93,385
1,1,98.067,207.93
1,1,228.2,511.93
179.13,14.867,289,262.33
6.3333,266.6,105.53,425.53
1,1,138.6,406.33
61.8,1,219.67,404.2
54.333,1,383.93,385
183.4,1,383.93,497
171.67,1,316.73,220.73
110.87,1,383.93,212.2
36.2,8.4667,153.53,238.87
250.6,146.07,383.93,511.93
277.27,277.27,324.2,431.93
1,271.93,344.47,511.93
1,8.4667,111.93,455.4
229.27,321,383.93,511.93
28.733,322.07,310.33,511.93
54.333,1,285.8,385
209,292.2,289,484.2
292.2,110.87,383.93,258.07
109.8,381.8,227.13,504.47
61.8,1,207.93,266.6
325.27,19.133,383.93,116.2
17,26.6,162.07,309.27
1,1,269.8,427.67
283.67,329.53,383.93,497
119.4,1,383.93,511.93
1,1,310.33,511.93
312.47,54.333,383.93,212.2
137.53,1,190.87,124.73
1,1,209,373.27
1,326.33,321,511.93
149.27,382.87,241,501.27
1,321,225,511.93
6.3333,266.6,95.933,425.53
1,323.13,204.73,511.93
5.2667,404.2,74.6,499.13
148.2,374.33,319.93,511.93
1,239.93,383.93,511.93
87.4,162.07,228.2,413.8
84.2,1,181.27,109.8
119.4,259.13,166.33,310.33
35.133,287.93,107.67,353
1,323.13,241,511.93
1,1,383.93,454.33
206.87,177,282.6,361.53
229.27,321,323.13,490.6
1,25.533,110.87,408.47
87.4,271.93,344.47,504.47
276.2,337,383.93,511.93
2.0667,349.8,46.867,458.6
90.6,284.73,143.93,374.33
1,1,383.93,417
302.87,12.733,383.93,212.2
130.07,217.53,218.6,345.53
13.8,203.67,97,315.67
1,266.6,151.4,511.93
218.6,1,383.93,511.93
107.67,1,383.93,289
244.2,53.267,383.93,212.2
1,1,218.6,406.33
1,1,344.47,511.93
286.87,343.4,383.93,511.93
1,274.07,383.93,511.93
291.13,5.2667,356.2,52.2
179.13,1,383.93,511.93
258.07,254.87,305,357.27
1,146.07,383.93,511.93
61.8,1,218.6,394.6
1,401,74.6,511.93
6.3333,213.27,95.933,425.53
1,226.07,92.733,403.13
298.6,19.133,383.93,158.87
1,324.2,97,511.93
119.4,229.27,189.8,340.2
184.47,381.8,237.8,479.93
1,1,209,309.27
184.47,249.53,318.87,497
268.73,121.53,383.93,296.47
283.67,238.87,383.93,511.93
107.67,1,383.93,417
1,332.73,319.93,511.93
309.27,109.8,383.93,421.27
314.6,249.53,383.93,381.8
239.93,238.87,306.07,409.53
1,1,111.93,454.33
302.87,1,383.93,212.2
184.47,345.53,307.13,497
47.933,259.13,93.8,338.07
1,326.33,159.93,471.4
149.27,193,203.67,255.93
54.333,1,383.93,497
1,321,131.13,511.93
318.87,235.67,383.93,365.8
1,350.87,165.27,511.93
234.6,1,383.93,193
229.27,274.07,383.93,511.93
110.87,1,383.93,87.4
189.8,8.4667,299.67,471.4
136.47,225,222.87,401
101.27,344.47,241,501.27
44.733,153.53,86.333,231.4
1,350.87,61.8,459.67
171.67,1,383.93,296.47
1,162.07,228.2,511.93
28.733,1,197.27,149.27
250.6,109.8,383.93,511.93
253.8,216.47,383.93,511.93
61.8,1,218.6,374.33
1,242.07,107.67,406.33
196.2,1,383.93,511.93
1,445.8,113,511.93
28.733,1,213.27,363.67
179.13,13.8,307.13,484.2
120.47,229.27,167.4,295.4
260.2,1,383.93,214.33
136.47,260.2,312.47,501.27
196.2,81,307.13,417
6.3333,26.6,111.93,425.53
119.4,218.6,383.93,511.93
204.73,158.87,307.13,471.4
189.8,1,299.67,471.4
134.33,1,175.93,61.8
54.333,1,219.67,404.2
196.2,1,383.93,222.87
65,247.4,211.13,385
1,7.4,101.27,227.13
1,260.2,383.93,511.93
179.13,14.867,307.13,484.2
83.133,249.53,229.27,427.67
69.267,201.53,218.6,394.6
1,6.3333,111.93,455.4
30.867,321,131.13,424.47
218.6,1,383.93,214.33
126.87,1,201.53,255.93
283.67,329.53,383.93,511.93
54.333,1,218.6,385
229.27,388.2,293.27,490.6
28.733,1,129,52.2
1,301.8,131.13,511.93
1,401,84.2,511.93
1,322.07,310.33,511.93
247.4,19.133,383.93,289
193,1,309.27,82.067
1,36.2,93.8,406.33
283.67,337,383.93,511.93
1,401,151.4,511.93
1,335.93,51.133,455.4
9.5333,401,88.467,511.93
253.8,156.73,383.93,511.93
309.27,140.73,383.93,421.27
283.67,405.27,383.93,511.93
