23.4,141.8,247.4,387.13
53.267,1,385,511.93
62.867,220.73,222.87,387.13
1,357.27,385,511.93
1,1,385,511.93
161,1,385,406.33
49,202.6,196.2,375.4
252.73,227.13,385,402.07
37.267,195.13,228.2,382.87
145,298.6,385,511.93
37.267,175.93,222.87,387.13
98.067,203.67,206.87,260.2
42.6,405.27,299.67,482.07
1,1,127.93,446.87
167.4,309.27,276.2,406.33
1,1,257,462.87
212.2,124.73,358.33,382.87
172.73,37.267,385,358.33
1,305,79.933,511.93
83.133,175.93,184.47,217.53
1,1,335.93,511.93
7.4,205.8,262.33,420.2
228.2,1,385,402.07
1,298.6,385,511.93
65,1,385,157.8
149.27,226.07,236.73,373.27
266.6,286.87,385,407.4
23.4,130.07,276.2,406.33
287.93,424.47,385,511.93
7.4,134.33,273,420.2
73.533,137.53,233.53,194.07
136.47,1,385,161
12.733,1,385,511.93
69.267,173.8,206.87,267.67
1,1,319.93,511.93
31.933,170.6,284.73,403.13
1,1,126.87,446.87
31.933,174.87,284.73,403.13
278.33,298.6,385,401
33,173.8,385,511.93
191.93,83.133,271.93,136.47
1,449,223.93,511.93
178.07,56.467,335.93,161
13.8,173.8,257,405.27
72.467,1,385,382.87
49,236.73,248.47,405.27
81,202.6,134.33,259.13
137.53,223.93,225,270.87
119.4,37.267,242.07,108.73
1,261.27,385,511.93
1,1,385,446.87
1,1,385,462.87
173.8,56.467,335.93,161
97,203.67,196.2,319.93
292.2,51.133,385,306.07
319.93,180.2,367.93,263.4
31.933,259.13,75.667,301.8
8.4667,1,385,511.93
33,1,385,212.2
72.467,1,255.93,73.533
33,173.8,385,415.93
193,414.87,296.47,511.93
65,1,385,374.33
248.47,162.07,385,402.07
1,164.2,385,511.93
1,170.6,319.93,511.93
193,386.07,303.93,511.93
15.933,1,385,360.47
291.13,162.07,379.67,355.13
65,1,251.67,108.73
7.4,1,385,420.2
199.4,1,385,374.33
53.267,86.333,297.53,228.2
153.53,342.33,248.47,396.73
33,287.93,101.27,383.93
253.8,339.13,385,511.93
273,428.73,330.6,511.93
49,312.47,138.6,378.6
13.8,173.8,231.4,315.67
18.067,1,108.73,81
167.4,357.27,255.93,406.33
47.933,357.27,385,511.93
305,37.267,385,303.93
31.933,178.07,223.93,389.27
83.133,141.8,247.4,215.4
55.4,216.47,109.8,260.2
212.2,51.133,385,382.87
53.267,1,378.6,228.2
212.2,65,385,362.6
33,173.8,263.4,396.73
136.47,173.8,230.33,270.87
37.267,134.33,273,403.13
8.4667,121.53,233.53,415.93
37.267,175.93,228.2,387.13
178.07,369,385,511.93
37.267,238.87,151.4,323.13
65,1,385,402.07
1,357.27,250.6,511.93
72.467,1,385,153.53
69.267,137.53,233.53,267.67
1,305,79.933,463.93
33,65,385,378.6
133.27,55.4,218.6,121.53
72.467,1,267.67,82.067
49,242.07,207.93,375.4
228.2,1,385,323.13
1,145,262.33,444.73
1,348.73,385,511.93
149.27,226.07,385,415.93
8.4667,1,385,415.93
159.93,1,385,402.07
153.53,232.47,305,415.93
87.4,324.2,159.93,375.4
50.067,238.87,108.73,291.13
65,1,341.27,155.67
27.667,93.8,147.13,212.2
105.53,137.53,271.93,179.13
65,1,385,406.33
62.867,300.73,211.13,387.13
1,270.87,126.87,446.87
50.067,298.6,228.2,382.87
1,305,89.533,511.93
114.07,164.2,195.13,204.73
83.133,141.8,215.4,215.4
1,402.07,143.93,511.93
47.933,357.27,266.6,511.93
182.33,83.133,289,158.87
23.4,141.8,247.4,269.8
83.133,141.8,247.4,217.53
194.07,1,378.6,125.8
241,417,330.6,511.93
37.267,202.6,178.07,299.67
182.33,40.467,337,161
37.267,195.13,228.2,387.13
23.4,1,385,406.33
89.533,42.6,218.6,121.53
1,1,127.93,462.87
40.467,137.53,233.53,267.67
33,200.47,164.2,315.67
97,449,265.53,511.93
316.73,162.07,371.13,247.4
300.73,102.33,385,306.07
212.2,124.73,358.33,358.33
1,1,385,444.73
212.2,65,385,360.47
108.73,130.07,267.67,227.13
33,164.2,261.27,378.6
1,1,385,239.93
173.8,226.07,236.73,373.27
229.27,1,385,92.733
1,42.6,55.4,159.93
209,1,385,98.067
50.067,298.6,161,380.73
210.07,42.6,273,111.93
92.733,279.4,186.6,351.93
1,305,262.33,511.93
33,164.2,385,415.93
194.07,1,378.6,149.27
264.47,344.47,305,406.33
13.8,173.8,248.47,405.27
1,339.13,385,511.93
1,1,111.93,511.93
248.47,162.07,385,511.93
161,261.27,318.87,511.93
1,1,147.13,239.93
153.53,298.6,385,415.93
72.467,1,255.93,150.33
90.6,93.8,187.67,153.53
37.267,178.07,223.93,389.27
1,356.2,319.93,511.93
263.4,299.67,385,511.93
137.53,239.93,196.2,302.87
72.467,1,385,207.93
145,449,266.6,511.93
1,436.2,319.93,511.93
254.87,299.67,385,415.93
63.933,1,378.6,155.67
151.4,315.67,200.47,371.13
338.07,102.33,385,306.07
42.6,356.2,299.67,482.07
193,369,385,511.93
130.07,235.67,187.67,302.87
318.87,37.267,385,142.87
53.267,157.8,145,215.4
173.8,81,281.53,150.33
1,357.27,239.93,511.93
33,164.2,230.33,315.67
161,261.27,385,511.93
161,173.8,276.2,364.73
1,1,174.87,447.93
37.267,238.87,139.67,321
73.533,1,148.2,62.867
291.13,162.07,385,374.33
1,129,126.87,303.93
213.27,309.27,276.2,372.2
47.933,449,223.93,511.93
139.67,9.5333,341.27,155.67
91.667,202.6,133.27,253.8
15.933,56.467,335.93,191.93
287.93,369,385,487.4
287.93,335.93,385,401
211.13,357.27,260.2,405.27
81,466.07,190.87,511.93
287.93,370.07,385,481
105.53,1,378.6,155.67
321,139.67,385,306.07
97,369,385,511.93
153.53,342.33,305,415.93
83.133,200.47,133.27,253.8
47.933,1,99.133,63.933
161,173.8,276.2,406.33
65,1,261.27,121.53
49,357.27,123.67,401
139.67,9.5333,341.27,151.4
255.93,162.07,385,374.33
72.467,1,267.67,153.53
300.73,148.2,369,305
15.933,1,385,191.93
122.6,242.07,191.93,327.4
65,1,271.93,108.73
39.4,238.87,139.67,321
217.53,17,324.2,125.8
235.67,344.47,305,415.93
199.4,123.67,277.27,169.53
127.93,108.73,184.47,158.87
138.6,328.47,199.4,380.73
37.267,164.2,226.07,303.93
266.6,286.87,385,401
65,1,378.6,155.67
23.4,130.07,267.67,269.8
173.8,226.07,231.4,373.27
159.93,174.87,284.73,403.13
24.467,15.933,87.4,81
37.267,217.53,197.27,380.73
1,1,79.933,161
1,1,86.333,161
49,236.73,196.2,380.73
1,205.8,78.867,446.87
23.4,155.67,126.87,269.8
255.93,199.4,385,374.33
49,402.07,169.53,511.93
248.47,162.07,379.67,355.13
1,1,152.47,305
13.8,201.53,174.87,315.67
49,360.47,241,468.2
33,164.2,230.33,375.4
15.933,56.467,271.93,191.93
37.267,217.53,236.73,403.13
145,369,385,511.93
1,50.067,127.93,255.93
33,164.2,226.07,378.6
146.07,227.13,223.93,296.47
62.867,321,148.2,375.4
47.933,449,143.93,511.93
287.93,40.467,337,89.533
167.4,173.8,276.2,406.33
49,275.13,225,396.73
72.467,1,385,193
37.267,203.67,179.13,324.2
287.93,369,385,511.93
37.267,203.67,139.67,321
1,1,111.93,462.87
37.267,164.2,200.47,303.93
172.73,173.8,233.53,364.73
61.8,321,140.73,375.4
130.07,233.53,188.73,302.87
123.67,37.267,242.07,108.73
63.933,44.733,284.73,155.67
1,402.07,206.87,511.93
81,202.6,178.07,259.13
1,449,63.933,511.93
69.267,202.6,178.07,258.07
87.4,324.2,140.73,375.4
139.67,9.5333,329.53,151.4
252.73,227.13,385,511.93
228.2,1,385,511.93
266.6,386.07,367.93,511.93
161,183.4,231.4,369
175.93,351.93,263.4,402.07
7.4,205.8,238.87,420.2
254.87,1,353,41.533
182.33,83.133,271.93,151.4
1,1,114.07,196.2
66.067,1,296.47,94.867
47.933,449,111.93,511.93
146.07,235.67,187.67,302.87
33,164.2,226.07,375.4
130.07,242.07,207.93,373.27
49,236.73,191.93,380.73
221.8,42.6,273,88.467
132.2,220.73,222.87,312.47
268.73,355.13,385,511.93
1,449,79.933,511.93
290.07,462.87,330.6,511.93
49,113,125.8,163.13
37.267,175.93,184.47,324.2
33,164.2,236.73,378.6
145,386.07,319.93,511.93
15.933,1,98.067,63.933
33,173.8,227.13,305
33,136.47,103.4,212.2
65,1,341.27,151.4
170.6,152.47,284.73,363.67
262.33,89.533,305,139.67
289,424.47,385,511.93
302.87,1,385,98.067
172.73,232.47,223.93,364.73
1,107.67,52.2,159.93
130.07,294.33,190.87,373.27
69.267,173.8,193,258.07
302.87,14.867,385,98.067
49,357.27,262.33,511.93
85.267,164.2,195.13,207.93
159.93,242.07,284.73,403.13
1,15.933,114.07,196.2
171.67,242.07,225,363.67
193,386.07,324.2,511.93
50.067,298.6,161,375.4
181.27,90.6,284.73,151.4
49,203.67,196.2,375.4
253.8,49,296.47,94.867
173.8,81,287.93,150.33
287.93,370.07,385,511.93
1,309.27,79.933,462.87
291.13,173.8,342.33,355.13
159.93,152.47,284.73,369
229.27,1,385,98.067
124.73,233.53,196.2,319.93
98.067,203.67,179.13,324.2
50.067,298.6,211.13,382.87
90.6,164.2,217.53,237.8
40.467,196.2,91.667,261.27
321,177,367.93,263.4
37.267,137.53,236.73,403.13
85.267,164.2,195.13,204.73
