1,1,512.2,384.2
174.6,1,512.2,384.2
149,1,512.2,384.2
162.6,33,222.6,378.6
148.2,1,353,384.2
1,1,209,384.2
297,1,512.2,384.2
37.8,1,353.8,384.2
110.6,92.2,152.2,307.4
1,1,255.4,384.2
1,1,357,384.2
97.8,1,512.2,384.2
345.8,1,512.2,384.2
81,1,225.8,384.2
81.8,20.2,188.2,352.2
1,1,353,384.2
200.2,1,357,158.6
195.4,169.8,355.4,384.2
101.8,83.4,155.4,309.8
387.4,1,512.2,384.2
289.8,1,512.2,384.2
293,1,512.2,384.2
293,1,407.4,384.2
104.2,1,209.8,105
374.6,316.2,512.2,384.2
325.8,1,382.6,384.2
125,1,281.8,240.2
148.2,1,353.8,384.2
37.8,1,512.2,384.2
24.2,1,209,384.2
148.2,1,282.6,384.2
174.6,1,390.6,384.2
373.8,243.4,429,320.2
292.2,1,512.2,384.2
388.2,316.2,512.2,384.2
40.2,25.8,183.4,343.4
143.4,1,277,384.2
145,1,353,384.2
162.6,1,221,49.8
81.8,121.8,176.2,352.2
345.8,1,492.2,384.2
102.6,1,281.8,384.2
102.6,1,512.2,384.2
293,1,398.6,384.2
197.8,1,357,384.2
145,1,229,301
31.4,1,255.4,384.2
149,1,357,384.2
426.6,1,489.8,79.4
393,294.6,512.2,384.2
465,1,512.2,335.4
326.6,1,382.6,384.2
390.6,71.4,512.2,202.6
1,1,281.8,384.2
325.8,1,512.2,384.2
293,192.2,371.4,384.2
101,273.8,192.2,384.2
101.8,25.8,183.4,236.2
1,1,191.4,384.2
165.8,171.4,344.2,384.2
183.4,1,295.4,148.2
368.2,1,512.2,384.2
97.8,1,222.6,384.2
221.8,1,357,63.4
107.4,215.4,161.8,343.4
149,1,295.4,384.2
317.8,1,512.2,384.2
387.4,316.2,504.2,384.2
360.2,1,512.2,239.4
161.8,133,222.6,378.6
292.2,1,389.8,384.2
388.2,1,512.2,384.2
390.6,73,512.2,151.4
29.8,94.6,134.6,200.2
148.2,33,344.2,384.2
1,1,49.8,89.8
108.2,97.8,155.4,309.8
145,1,355.4,384.2
29.8,188.2,152.2,337
143.4,1,281.8,384.2
341.8,1,493,384.2
461,97,512.2,356.2
1,1,308.2,384.2
203.4,266.6,351.4,384.2
29.8,39.4,170.6,200.2
433,73,512.2,273.8
102.6,9,202.6,384.2
388.2,316.2,490.6,358.6
429.8,145.8,512.2,239.4
289.8,1,406.6,279.4
102.6,84.2,192.2,352.2
461,97,512.2,318.6
184.2,1,357,357
125,1,221,157
37.8,1,209,352.2
377,1,512.2,156.2
285.8,1,512.2,384.2
109.8,84.2,152.2,176.2
31.4,1,281.8,384.2
214.6,1,357,104.2
1,1,209.8,384.2
366.6,1,489.8,334.6
125,121.8,176.2,352.2
202.6,1,353.8,158.6
329,73.8,377.8,384.2
349.8,1,492.2,384.2
166.6,25.8,217.8,326.6
285.8,1,382.6,384.2
162.6,1,357,384.2
377,1,512.2,159.4
388.2,1,489.8,79.4
198.6,1,355.4,384.2
195.4,1,357,384.2
429,73.8,500.2,121
1,1,211.4,384.2
459.4,315.4,512.2,368.2
385,1,512.2,161
102.6,1,357,384.2
166.6,1,273,166.6
372.2,1,512.2,159.4
463.4,204.2,512.2,384.2
105,1,209,200.2
175.4,1,277,384.2
31.4,1,225.8,384.2
133,1,225.8,140.2
373.8,204.2,512.2,384.2
461.8,205,512.2,298.6
420.2,241.8,490.6,296.2
145,1,353,301
328.2,1,377.8,330.6
166.6,1,257,358.6
285.8,21,372.2,281.8
297,1,493,384.2
428.2,321,507.4,364.2
1,1,225.8,384.2
1,1,200.2,384.2
