89,229.8,298.6,317
1,1,512.2,165
57,317,176.2,384.2
78.6,1,512.2,157
242.6,246.6,512.2,384.2
1,1,512.2,384.2
1,1,512.2,309.8
1,1,298.6,384.2
1,1,512.2,295.4
1,1,398.6,96.2
82.6,97,512.2,294.6
1,54.6,129.8,152.2
53,273,124.2,314.6
1,1,313,105.8
103.4,11.4,512.2,157
1,70.6,130.6,295.4
1,1,213.8,105
167.4,114.6,512.2,257.8
79.4,1,512.2,166.6
94.6,227.4,207.4,281
79.4,59.4,448.2,165
1,249,361,384.2
89.8,40.2,321.8,133
1,70.6,153.8,295.4
147.4,47.4,284.2,100.2
79.4,1,512.2,165
1,1,512.2,104.2
1,182.6,361.8,384.2
1,1,469.8,133
85,59.4,512.2,259.4
1,1,512.2,158.6
167.4,156.2,512.2,223.4
1,73.8,256.2,307.4
32.2,1,512.2,93
1,192.2,512.2,384.2
333,281,387.4,330.6
1,1,512.2,259.4
32.2,1,512.2,169
1,1,512.2,160.2
1,70.6,512.2,384.2
98.6,156.2,512.2,384.2
1,70.6,149,295.4
148.2,69.8,512.2,161
49,267.4,365,384.2
418.6,246.6,512.2,298.6
293,1,474.6,53.8
211.4,315.4,287.4,357.8
103.4,156.2,512.2,384.2
12.2,151.4,149,252.2
105,59.4,512.2,161
1,1,392.2,158.6
150.6,279.4,230.6,341.8
113,72.2,380.2,141
1,95.4,512.2,384.2
103.4,33.8,512.2,165
1,1,172.2,216.2
32.2,1,512.2,384.2
13.8,71.4,512.2,384.2
333,281,387.4,326.6
1,1,476.2,132.2
195.4,291.4,435.4,384.2
363.4,34.6,512.2,85.8
1,148.2,238.6,384.2
81.8,85,512.2,168.2
1,72.2,512.2,384.2
1,148.2,232.2,307.4
254.6,93.8,512.2,384.2
86.6,226.6,238.6,288.2
170.6,290.6,320.2,362.6
1,289.8,170.6,381
435.4,93.8,512.2,325.8
1,153,292.2,384.2
1,148.2,232.2,261
49.8,83.4,97.8,132.2
1,267.4,353.8,384.2
215.4,249,512.2,384.2
90.6,24.2,512.2,141
1,49,129.8,152.2
1,153,512.2,384.2
125.8,297.8,230.6,381
81,224.2,512.2,384.2
197,44.2,304.2,84.2
336.2,281.8,512.2,351.4
103.4,165.8,337,229.8
392.2,319.4,492.2,378.6
